Clave,Producto,Precio
7503015060395,astridix c/30,$62.00
7502265131619,astridix pack c/20pz,$69.00
951,Atomizador mediano,$38.00
68,avena laminada,$38.00
6971285300007,azirricas c/40pz,$59.90
7502223789067,azucar estandar switen kg,$35.90
45,azucar glass,$60.00
10687,azucar glass para fondant,$34.50
29,azucar standard,$33.00
661440000014,azucar sulka 1kg,$29.00
661440001462,azucar zulca 1kg,$26.50
7500525453945,azucarestandar precissimo 900gr,$33.00
557,balon inflantil med,$20.00
718122250721,bandera de coco extra 10pz,$77.90
7504010383670,banderilla arturin azul c/50pz,$82.00
7504010383014,banderilla arturin tamarindo  gr c/50,$86.50
7504010383380,banderilla arturin tamarindo ch c/50,$75.00
7501624799781,banderilla betamex c/50,$140.00
7504010383366,banderilla chica tajin c/50,$75.00
885532000281,banderilla coco gr,$99.90
885532000564,banderilla de coco 40pz,$82.00
885532000250,banderilla de coco ch c/20pz,$71.00
752830211360,banderilla de coco extra c/10pz,$97.00
885532000274,banderilla de coco gr delicias c/20,$115.00
7503029410759,banderilla de coco kandy med c/30pz,$49.50
7503029410766,banderilla de coco mediana c/20pz,$58.50
603554001112,banderilla piñatera c/50,$58.50
7503029410919,banderilla star kandy gr 50pz,$64.90
7503029410902,banderilla star kandy tamarindo gr c/50pz,$74.00
358,banderilla tamarindo grande a granel,$2.00
7501624799385,banderilla tamarrico c/50pz,$96.00
603554044232,banderilla wafer stick fresa 55 pz +10gratis,$56.50
7501751412959,banderin baby shower,$28.00
7501751412966,banderin baby shower niña,$28.00
751214809544,banderin granmark felicidades,$40.90
751214797780,banderin granmark felicidades,$40.90
20211124,banderines feliz cumpleaños,$32.50
6900000033913,banderines p/ fiesta,$24.90
7506377814552,banner molvil feliz cumpleaños,$38.50
7506377821222,banner movil astronauta,$37.00
724869002745,Barquillo c/ relleno choco palillin c/40,$74.00
7503009274609,barquillo colibrios mega c/20,$62.00
7503009274005,barquillo cristina c/39pz,$64.00
644813000163,barquillo deliz c/30pz,$45.00
644813003348,barquillo deliz c/60pz,$73.00
644813008657,barquillo mini c/15pz,$20.50
644813003324,barquillo mini chiquito c/30pz,$22.50
644813001634,barquillos deliz con granillo,$36.50
7503018023120,barriito sabor ponche 500ml,$13.00
7503018023144,barrilito sabor durazno 500ml,$13.00
7503018023151,barrilito sabor manzana 500ml,$13.00
7503018023137,barrilito sabor piña 500ml,$13.00
7501030453055,barrita marinel sabor fresa c/12pz,$47.00
7501000391974,barrita marinela sabor fresa x pz,$6.00
7501030453062,barrita marinela sabor piña c/12pz,$47.00
7501000392384,barrita marinela sabor piña ind,$6.00
7501011145078,barrita tix tix c 18pp,$78.00
6,base blanca #10 circular,$6.00
7,base blanca #12 circular,$7.50
8,base blanca #14 circular,$9.00
9,base blanca #16 circular,$12.00
271,base carton plata rect. 46*66,$54.00
10770,Base carton r-32 colores,$20.00
269,base carton rect plata 35*47 1/2 plancha,$31.00
292,base carton rect plata 42*56 3/4 plancha,$41.00
459,base carton redonda plata R-26,$11.00
526,base carton redonda plata R-52,$34.00
5134,base circular ondulada 20cm,$10.00
10667,base circular ondulada 34cm,$20.00
10628,base dorada rect 35*47,$31.00
294,base plata rect 42*42,$26.90
11179,base rect dorada 42*56,$39.00
291,base rect plata r-40,$25.00
4890,base rectangular 1/2 plancha,$30.90
524,base rectangular plata 25*35 1/4 de plancha,$23.00
10668,base rectangular plata 50*75 1 1/4 plancha,$62.90
1380,base redonda 30cm,$16.00
10308,base redonda carton plata r-28,$18.00
660,base redonda dorada y plateada 18cm,$10.00
11621,base redonda pastel 25cm,$13.00
274,base redonda plata  r-36,$22.90
11101,base redonda plata 35cm,$20.50
10400,base redonda plata r-25cm,$13.00
273,base redonda plata r-32,$21.00
10863,base redonda plata r-38,$16.90
527,base redonda plata R-42,$28.50
10362,base redonda plata r-42,$28.00
478,base redonda plata r-46,$37.00
11216,base redonda r-28,$14.00
603554111255,basket shot candy c/20pz,$77.00
75075477,basket shot candy delicias a granel,$6.00
7501011181809,be light jamaica 1.5lt,$20.00
7501011181755,be light limon 1.5lt,$20.00
7501011167070,be light mango 1.5lt,$20.00
7501011181762,be light toronja 1.5,$20.00
32239055285,bebere ponche citrico 473ml,$8.50
7503037623790,bebida energizante frutas 300ml,$13.00
7506304500015,becks pastilla hierbabuena c/100pz,$54.00
7506304500008,becks pastilla menta 100pz,$54.00
7502228061250,beibidinos mix c/100pz,$140.00
34,benzoato de sodio,$146.28
724869004282,bianchi chocolate malvabisco con 50pz,$106.00
7503008304604,bibi frutix 12pz,$75.50
7503008304598,bibi frutix a granel,$8.00
7503008304796,bibi polvix 12pzs,$69.50
7503008304789,bibi polvix a granel,$9.00
46,bicarbonato,$42.00
724869005517,birico c/20 mas 5 gratis,$31.90
266,bisagra 14x14 inix baja,$3.50
423,bisagra inix 14*14 media,$3.50
19,bisagra multiusos mx6 24x16x10,$7.00
305,bisagra p/12 quequitos,$13.90
182,bisagra p/6 quequitos plastica,$10.00
955,bisagra p/6queqos,$6.00
424,bisagra rb 110,$5.80
427,bisagra rb140,$4.00
17,bisagra rb180,$3.50
198,bisagra transp. c/3 divisiones 20*17*6.5 pza,$5.00
10,bisagra triangular rb100,$2.80
25046501052,bocadin c/50,$88.00
126,bokachito extremo a granel,$140.00
730399019283,bokachito extremo bokados c/900grs,$99.00
125,bokachito queso a granel,$140.00
730399025130,bokachito queso bokados c/900grs,$99.00
895,bokacho extremo sedesil a granel,$100.00
894,bokacho queso sedesil a granel,$100.00
638005010009,bolichick c/200,$33.90
638005010405,bolichick hongo 100pz,$25.00
638005010207,bolichik chicle bola con 50pz,$48.00
638005010108,bolichik chicle con 100pz,$32.90
7503014341342,bolis ch sabores,$13.50
7503041422006,bolis chamoy grande c/10,$22.00
7503041422174,bolis chamoy jumbo c/10pz,$34.00
7503041422013,bolis colores gr c/10,$25.00
7503041422020,bolis colores moran jumbo 10pzs,$26.00
311,bolis colores y chamoy a granel,$3.00
7502225962611,bolitocha surtida 60pz,$89.00
7502225962512,bolitochas sandia c/60,$108.00
756,bolo $12,$12.00
792,bolo $25,$25.00
407,bolo de 10,$10.00
930,bolo de 130,$130.00
202,bolo de 15,$15.00
591,bolo de 150,$150.00
899,bolo de 20,$20.00
590,bolo de 70,$70.00
603554079036,bolo vaso las delicias,$31.00
7503005195600,bolsa  8*12 plastica,$98.00
355,bolsa  freshy bag grande 26.8*12,$28.00
80101649605,bolsa bolson 10*25,$88.00
7503014508140,bolsa camiseta bolson extra jumbo,$65.00
80101649094,bolsa camiseta bolson mediana,$65.00
7503014508102,bolsa camiseta ch placoyt kg,$65.00
7503014508119,bolsa camiseta placoyt med kg,$65.00
7503014508126,bolsa camiseta playcot gr,$65.00
614143138294,bolsa celofan 10*15  beiu,$14.90
7503024921205,bolsa celofan 10*15 c/100pz,$20.90
7503022259480,bolsa celofan 10*20 c/100pz,$29.90
614143138195,bolsa celofan 10*20 cal 30 c/100pz,$20.90
7503024921212,bolsa celofan 10*20 lisa,$32.00
7503024921236,bolsa celofan 11*17 c/100,$21.90
7503017541038,bolsa celofan 11*17 c/100pz,$24.00
456,bolsa celofan 11*17 c/borde,$23.50
458,bolsa celofan 11*17 lisa,$20.50
7503024921250,bolsa celofan 12*20 c/100,$23.50
7503024921267,bolsa celofan 12*25 lisa,$37.50
7503024921298,bolsa celofan 14*20 lisa,$36.50
614143138393,bolsa celofan 14*20 lisa,$23.90
7503004988693,Bolsa celofan 15*20 c/100pz,$41.00
97,bolsa celofan 20*30 a granel,$1.00
96,bolsa celofan 20*30 c/100,$65.50
7509752001068,bolsa celofan 20*30 c/100pz,$63.00
379,bolsa celofan 25*35 a granel,$1.50
429,bolsa celofan 25*40,$107.00
430,bolsa celofan 25*40 a granel,$1.50
382,bolsa celofan 30*40 a granel,$2.00
580,bolsa celofan 30*50 a granel,$2.50
577,bolsa celofan 30*50 c/100pz,$155.90
576,bolsa celofan 30*50 c/50,$68.50
383,bolsa celofan 35*55,$2.00
380,bolsa celofan 40*60  a granel,$2.50
7503024921038,bolsa celofan 5*20,$15.00
7503024921045,bolsa celofan 6*10 c/100,$14.00
7503024921076,bolsa celofan 6*14 c/100,$18.00
7503017541380,bolsa celofan 6*14 c/100pz,$14.00
614143138485,bolsa celofan 6*19 cms,$15.00
614143139079,bolsa celofan 7*25cms,$20.00
237,bolsa celofan 8*12,$14.00
687733020071,bolsa celofan 8*12 cal 25 c/100pz,$13.00
7503026487327,bolsa celofan 8*14 lisa,$14.90
7503004988273,bolsa celofan 8*15 c/100pz,$18.00
7503022259376,bolsa celofan 8*15 c/100pz,$16.00
455,Bolsa celofan 8*15 c/borde,$15.90
7503024921151,bolsa celofan 8*16 c/100,$18.00
450,bolsa celofan 8*20 borde,$18.00
614143141249,bolsa celofan 8*20lisa c/100pz,$20.00
8569,bolsa celofan 8*25 c/borde c/100pz,$28.00
7503017541489,bolsa celofan 8*26 c/100pz,$25.90
614143137853,bolsa celofan 8*26 cal 30 100pz,$21.00
614143138232,bolsa celofan 8*26 lisa,$18.00
402,bolsa celofan 9*15,$18.00
7502003478259,bolsa celofan 9*17 c/100,$24.00
842270001642,bolsa celofan 9*17 c/100pz,$22.50
464,bolsa celofan 9*17 lisa,$18.50
157,bolsa celofan 9*20,$17.90
7503017541502,bolsa celofan 9*20 c/100pz,$26.00
7502223280410,bolsa celofan amarillo 25pz,$29.50
7502223280380,bolsa celofan azul marino 25pz,$29.50
463,bolsa celofan con borde 10*15,$14.90
7502003478044,bolsa celofan fesa 10*20 c/100pz,$20.00
7502003478266,bolsa celofan fesa 11*17 c/100pz,$25.00
7502003478006,bolsa celofan fesa 20*30 c/100pz,$61.00
428,bolsa celofan fesa 35*45 a granel,$2.00
7502003478167,bolsa celofan fesa 5*20 c/100,$13.00
7502003478174,Bolsa celofan fesa 7*12 c/100pz,$14.00
7502003478181,bolsa celofan fesa 7*16 c/100pz,$18.00
7502003478099,bolsa celofan fesa 8*12 c/100pz,$13.00
7502003478235,bolsa celofan fesa 8*20 c/100pz,$18.00
7502003478242,bolsa celofan fesa 8*26 c/100pz,$28.00
7502003478365,bolsa celofan fesa 9*15 c/100pz,$15.00
7503017541090,bolsa celofan la bolsita 14*20 100pz,$43.00
7503017541434,bolsa celofan la bolsita 8*10 c/100pz,$13.00
7503017541472,bolsa celofan la bolsita 8*20 c/100pz,$22.00
7502223290471,bolsa celofan lila bco 25pz,$34.90
7503024921403,bolsa celofan lisa 20*30 c/100pz,$58.50
7503024921113,bolsa celofan lisa 7*16c/100pz,$18.00
7503024921687,bolsa celofan lisa 8*15,$16.00
7503024921168,bolsa celofan lisa 8*20 c/100pz,$19.00
7503027287087,bolsa celofan lisa 9*16,$14.90
7502223280717,bolsa celofan morado 25pz,$29.50
7502223280403,bolsa celofan naranja 25pz,$29.50
7502003478211,bolsa celofan payaso 8*14 c/100pz,$16.00
7503004988075,bolsa celofan polipro 10*20 100pz,$29.00
842270002113,bolsa celofan polipro 6*14 100pz,$13.00
7503024921090,bolsa celofan polipro 7*12,$15.00
7502223280427,bolsa celofan rojo 25pzs,$29.50
7502223290594,bolsa celofan rojo bco 25pz,$34.50
7502223290464,bolsa celofan rosa 25pzs,$34.90
SINSIN40469,bolsa celofan VG  8*15 100pz,$19.00
SINSIN35939,bolsa celofan VG 10*20 c/100pz,$28.00
93139,bolsa celofan VG 11*17 c/100pz,$24.00
SINSIN18116,bolsa celofan VG 5*20 c/100pz,$14.00
SINSIN99775,bolsa celofan VG 9*17 c/100pz,$23.90
7509752000571,bolsa de celofan 11*17,$25.00
7503024921052,bolsa de celofan 6*12,$12.00
457,bolsa de celofan 8*20 lisa,$15.90
7503024921984,bolsa de celofan lisa 7*20,$19.00
751214545183,bolsa de dulces avengers c 25pz,$49.50
751214564016,bolsa de dulces frozen II C 25PZ,$49.50
751214753526,bolsa de dulces lady bug c 25pz,$49.50
751214761170,bolsa de dulces masha y el oso c/25pz,$49.50
751214754325,bolsa de dulces mini unicornio c 25pz,$49.50
751214727336,bolsa de dulces paw patrol c 25pz,$49.50
751214789983,bolsa de dulces peppa pig c 25pz,$49.50
751214712912,bolsa de dulces soccer c 25pz,$49.50
751214238238,bolsa de dulces spiderman c 25pz,$49.50
751214771162,bolsa de dulces toy story c 25pz,$49.50
751214749819,bolsa de dulces unicornio c 25pz,$49.50
37,bolsa de papel #4 c/100,$43.00
334,bolsa de papel 16,$89.90
321,bolsa de papel no. 6,$57.50
326,bolsa de papel no.1,$25.50
333,bolsa de papel no.12,$52.50
297,bolsa de papel no.3,$43.00
256,bolsa de papel num.2,$34.90
20,bolsa de papel semillera c/50,$18.90
603554079418,bolsa delicias  piñatera hallowen 1.3kg,$210.00
80101649612,bolsa don bolson 60*90 kg,$88.00
470,"bolsa empaque ch, med. Grde",$1.00
471,bolsa empaque jumbo,$3.00
7502003478358,bolsa fesa celofan 6*12c/100pz,$12.00
687733020026,bolsa grafibox 6*12 c/100pz,$13.00
7502003478075,bolsa invitacion polipro 10*15 c/100,$16.90
7503024921694,bolsa invitacion polipro 7*20,$22.00
7503024921199,bolsa invitacion polipro 9*20 c/100,$22.50
7503024921946,bolsa invitacion polipro 9*25 c/100,$24.90
3001,bolsa navideña ch,$19.90
3003,bolsa navideña gr,$32.00
3004,bolsa navideña jumbo,$47.00
3002,bolsa navideña med,$28.00
214,bolsa negra 50*70 a granel,$2.50
4500000100039,bolsa negra 70*90,$52.00
213,bolsa negra 70*90 a granel,$4.00
7502215460301,bolsa negra 70*90 logabols kg,$45.00
212,bolsa negra 90*120 a granel,$8.00
1115,bolsa negra don bolson 50*70,$49.00
703158262091,bolsa negra don bolson 70*90,$49.00
703158262107,bolsa negra don bolson 90*120 kg,$49.00
7503038808035,bolsa negra global 50*70,$52.00
7503038808059,bolsa negra global 70*901kg,$52.00
7503038808028,bolsa negra global 90*120 1kg,$52.00
7502215460349,bolsa negra logbols 90*120 kg,$49.00
200000071436,bolsa negra p/basura 70*90  plagon,$52.00
200000071433,bolsa negra para basura 90*120 plagon,$49.00
200000071434,bolsa negra para basura plagon 50*70,$52.00
556,bolsa para regalo infantil,$15.00
603554079012,Bolsa piñatera delicias c/1.4kg,$270.00
724869001670,bolsa piñatera dlr mix surtido 1.5kg,$287.00
754177843297,bolsa piñatera winis 1.6kg,$168.00
200000071406,bolsa plastica 10*20 plagon,$88.00
200000071407,bolsa plastica 10*25 plagon,$88.00
200000071408,bolsa plastica 11*35 cal 300,$88.00
200000071409,bolsa plastica 12*20,$88.00
2000000714217,bolsa plastica 18*26 kg,$88.00
2000000714017,bolsa plastica 18*32,$88.00
200000071418,bolsa plastica 20*30 plagon,$88.00
200000071420,bolsa plastica 25*40 plagon,$88.00
200000071421,bolsa plastica 30*50 plagon,$88.00
200000071419,bolsa plastica 35*50,$88.00
200000071425,bolsa plastica 40*60 plagon,$88.00
200000071429,Bolsa plastica 60*90 kg,$88.00
200000071431,bolsa plastica 70*100 KG,$88.00
200000071430,bolsa plastica 70*90 plagon,$88.00
200000071402,bolsa plastica 8*12 plagon,$88.00
200000071404,bolsa plastica 8*26,$88.00
200000071432,bolsa plastica 90*120,$88.00
7503005195649,bolsa plastica arandas 10*25 kg,$88.00
614143329005,bolsa plastica arandas 15*25 kg,$88.00
7503005195823,Bolsa plastica arandas 50*70 kg,$88.00
80101649520,bolsa plastica bolson  18*26,$88.00
80101649490,bolsa plastica bolson 10*20 kg,$88.00
80101649483,bolsa plastica bolson 15*25,$88.00
80101649599,bolsa plastica bolson 50*70 kg,$88.00
80101649575,bolsa plastica don bolson  30*50 kg,$88.00
80101649506,bolsa plastica don bolson 14*20,$88.00
80101649513,bolsa plastica don bolson 15*25 kg,$88.00
80101649537,bolsa plastica don bolson 20*30kg,$88.00
80101649551,bolsa plastica don bolson 25*40 kg,$88.00
80101649582,bolsa plastica don bolson 40*60 kg,$88.00
6141433289923,bolsa plastica loplastic 10*25 kg,$88.00
7503005195632,bolsa plastica paq 10*20 kg,$88.00
2000000714014,bolsa plastica PLAGON  15*25,$88.00
200000071426,bolsa plastica plagon  50*70,$88.00
200000071439,bolsa plastica plagon 14*20,$88.00
7502208804587,bolsa rollo 15*25 alta,$72.00
7502208804594,bolsa rollo 18*26  alta,$72.00
7502208803306,Bolsa rollo 18*26 baja,$88.00
7502208804600,bolsa rollo 20*30 1 kg alta,$72.00
7502208803313,bolsa rollo 20*30baja densidad,$88.00
7502208804624,bolsa rollo 25*40 2kg alta,$72.00
7502208804648,Bolsa rollo 30*40 alta densidad,$66.00
7502208804655,Bolsa rollo 30*50 alta densidad,$66.00
1011,bolsa rollo americano 1kg,$61.00
1012,bolsa rollo americano 2kg,$88.50
93,bolsa rollo de 3 kilos alta,$72.00
7503025164199,Bolsa vitabag grande kg,$65.00
751214767936,bolsita de dulces LOL SUPRISE c/25pz,$49.50
751214535382,bolsita de dulces minnie c 25pz,$49.50
7500508113194,bomba infladora manual,$49.50
7501114872260,bomba p/inflar globos,$30.00
7506060903631,bombipecas 35pz,$29.90
760203008592,bombon angelitos 720gr,$79.50
724869003339,bombon bianchi animalito 400gr,$44.50
724869003216,bombon bianchi c/30pz,$86.00
724869001182,bombon bianchi choco gr c/32pz,$58.90
724869003742,bombon bianchi colores 400gr,$46.50
724869005272,bombon bianchi colores gr 400gr,$42.50
724869003766,bombon bianchi colores med,$48.00
724869002769,bombon bianchi colores med. 400gr,$44.50
724869005289,bombon bianchi mediado rosa,$36.00
724869005821,bombon bianchi rol,$26.90
724869004640,bombon bianchi rosa chico c/400gr,$48.00
724869005173,bombon bianchi super gigante fig,$87.00
724869003315,bombon bl/rosa gr c/400grs,$46.50
724869002653,bombon blanco drums c/283g,$23.90
724869004602,bombon ch azul bianchi,$36.00
724869004633,bombon ch blanco bianchi,$36.00
724869003278,bombon ch colores c/400grs,$48.00
724869002936,bombon corazon med 400g,$47.50
724869005166,bombon corazon mega bianchi c/810g,$63.90
724869002776,bombon enrollado 400gr,$47.50
724869005197,bombon gig figuras flor 840g,$85.00
724869004862,bombon mediano azul c/400g,$27.90
724869003292,bombon mediano bianchi bl/rosa 400g,$48.00
724869005180,bombon mega bianchi c/30,$87.00
724869004886,bombon mega bianchi eggs c/840,$63.90
724869004916,bombon mega bianchi figuras 840gr,$56.90
724869001595,bombon super gig corazon  c/30,$79.50
724869001878,bombon super gigante colores,$89.00
724869000871,bombon supergigante cuadro bl/rosa,$93.50
7500462419400,bombonoso c/20,$21.90
725181750109,bomvaso lucas limon c/10pz,$63.50
75027971,bon o bon a granel,$6.00
7502230942028,bon o bon c/15pz,$66.00
702752270143,botana cachito palomita c/27,$74.00
891,botanas krisos frito rojo 1kg,$58.00
890,botanas krisos strips 1kg,$58.00
738545010559,botanera 1.5lt,$44.90
376,brocha de elote ch,$16.00
7502273320142,Brocheta san carlos c/100pz,$17.00
451,bubbaloo a granel,$2.00
7622210529244,Bubbaloo extreme mix c/70,$72.00
7622201692827,bubbaloo fresa c/47pz,$53.00
7622201692865,bubbaloo menta c/47pz,$53.00
7622210529220,bubbaloo mixto c/70,$74.50
7622201692803,bubbaloo platano c/47pz,$53.00
7622201692742,bubbaloo tutti c/47pz,$53.00
797038010100,bubli bubli ch c/100,$56.00
7500810006504,bubu lubu mini sun 25pz,$77.50
74323011616,Bubulubu,$3.00
7432354,bubulubu gr 35grmos,$12.00
74323097474,bubulubu gr cja con 12,$125.00
757528023416,bubulubu mini con 25pzs,$125.00
603554111323,buhilete delicias c/20pz,$77.00
855,bulto charola mariel 855 c/10pz,$330.00
893,bulto cheto extremo sedesil 4kg,$256.00
892,bulto cheto queso sedesil 4kg,$256.00
7503003176213,bulto diablito queso superbotana c/3kg,$195.00
6213,bulto palomita con queso c/3kg,$219.00
812999013264,burbusoda c/60pz,$29.90
144,cacahuate botanero,$100.00
724869022293,cacahuate c/14 de la rosa,$64.00
143,cacahuate con cascara,$75.00
724869002295,cacahuate de la rosa a granel,$4.00
724869002202,cacahuate dlr con 12pz,$59.00
117,cacahuate enchilado mitades,$100.00
118,cacahuate garampiñado,$100.00
325,cacahuate habanero kg,$100.00
962,cacahuate hot nuts azul,$100.00
226,cacahuate japones,$100.00
7503009696005,cacahuate japones del rey ch  c/50pz,$64.90
724869001151,cacahuate japones dlr ch c/20pz,$64.00
7502004020075,cacahuate japones taitto,$6.00
7503003870432,cacahuate kurumaya,$6.00
146,cacahuate mixto,$100.00
132,cacahuate natural mitades,$100.00
116,cacahuate salado,$100.00
630,cacahuate salado con ajo kg,$75.00
7503004543014,cache kangurinc/20pz,$14.00
7503004988013,cachepigui c/20,$26.00
7503008304932,cachepigui doblex c/20,$20.90
7503004543083,cachetada devoracuaz c/10pz,$19.90
702752700022,cachielote c/10,$61.50
702752205121,cachito mini viborita c/25pz,$45.00
751214782168,caja para dulces baby sharkc/6pz,$85.00
751214921680,caja para dulces barbie c/6pz,$67.00
751214907790,caja para dulces bluey c/6pz,$84.90
751214753694,caja para dulces ch unicornio c 8pz,$60.90
130,caja transparente alta 10x10x7,$2.00
131,caja transparente mx120 12x127.5,$2.50
18,caja transparente. 14x14x4.5 baja x,$3.00
477,cajeta a granel,$58.00
7503031287028,cajeta coronado 333gr,$57.00
3971,cajeta para hornear c/1kg,$140.00
7501000383320,cajeta quemada yopi 250gr,$23.00
7501214747266,cajita fantasia bolitas c 6pz,$31.00
7501214747273,cajita fantasia bolitas c 6pz,$31.00
7501214759641,cajita fantasia c 6pz,$31.00
751214779052,cajita fantasia rainbow b day c 6pz,$31.00
7502250392278,Calcalocas chompys c/560grs,$78.00
751214773906,calcomanias stickers,$22.00
751214599988,calcomanias stickers lady bug,$12.00
160,camaron entero x kilo,$350.00
2011,campana de leche,$15.00
7501015511107,canasta sabor rompope c/50pz,$89.00
603554101089,candy brush a granel,$6.00
603554101096,candy brush c/24,$105.00
7506060903433,candy yoyoc/16pz,$42.00
51,canela entera,$550.00
50,canela molida,$60.00
60324,canela molida concentrada,$160.00
18804058660,Canels milks la vaquita,$58.00
7502003471557,Cañon de confeti c/30cm,$42.50
566,Capacillo #72 colors c/50pz,$13.00
553,capacillo colores no.73,$22.50
293,capacillo no.72,$45.50
203,capacillo rojo #73 c/35pz,$12.00
565,capacillo rojo y blanco #72 c/50PZ,$13.00
552,capacillocorrufacil rojo c/500pz,$55.00
725226005294,caramelitos c/100pz,$55.50
724869003803,caramelitos mentolados c/100pz,$32.90
725226000381,caramelitos surtidos c/100,$48.00
725226002354,caramelo dulcirindo surtido c/100,$46.50
725226005232,caramelo enchilitos c 100,$51.50
608890021039,Caramelo eucalipto c/100pz,$58.00
725226000374,caramelo fresa relleno c/100,$53.90
761682850177,caramelo fresca cortesia c/100,$43.00
725226000916,caramelo mim de leche /100,$61.00
18804053429,caramelo mini tueni c/32,$59.50
725226004358,caramelo muu c/100,$65.00
725226000398,caramelo piñita relleno c/100,$53.00
725226007038,caramelo pulparindo c/100,$52.00
18804018114,caramelo star light c/100,$66.00
725226004914,caramelo suave pulparindo c/100pz,$62.00
75043360,caramelo vaquita a granel,$2.00
75055509,caritas jumbo a granel,$4.00
7501058638083,carlos v a granel,$12.00
7506475103046,carlos v c/16pz mas 2 gratis,$120.00
7501058646088,carlos v c/18 2pzas gratis,$58.00
7501058638090,carlos v con 16pzs,$140.00
7501058640369,carlos v duo c/15pz,$103.50
7501058654298,carlos v stick blanco c/20,$40.90
7501058623348,carlos v stick c/20,$60.50
7501058623324,carlos v stick granel,$5.00
7501058640826,carlos v suizo c/16pz gratis 2,$160.00
7506475103039,Carlos v suizo c/16pz mas 2gratis,$120.00
766902011048,carrito de elotes cubierto  c/ 40,$31.90
7501868724075,catsup salsa de tomate venecia 1kg,$27.00
738545060073,catsup star value 3.72kg,$88.90
7503017541014,celofan 10*20 c/100pz,$28.00
842270000102,celofan 11*17 c/100pz,$24.00
280,celofan 6*12 con borde,$12.00
562,celofan 7*12 c/borde 100pz,$12.00
8422700009800,celofan 7*20 c/100pz,$19.00
7503004988655,celofan 8*26 c/100pz,$27.00
512,celofan a granel,$0.70
7503017541052,celofan la bolsita 12*20 c/100pz,$39.50
614143138317,celofan lisa 8*16,$15.90
508,celofan metalizada p/bolo,$1.00
555,Celofan varias medidas a granel,$1.00
550,celofan xpz,$0.70
3036,Cepillo abanico,$41.00
170,cepillo de ixtle,$18.00
954,Cepillo mega,$52.00
603554008029,cerbatana c/55,$29.50
43303,cereal arroz inflado a granel,$56.90
724869006781,ceretzza dlr c/100pz,$120.00
58897094770,Cereza marrasquino sin tallo 145g,$40.00
7501037217124,Cerezas en almibar 132g,$34.00
7501037217063,cerezas en almibar LON.TUN 183gr,$48.50
783502101030,cerezas mini 100pz,$46.00
77910000031,cerillos maya,$2.00
75036546,cerrillos manola a granel,$2.50
7501232001238,cerrillos manola c/50,$62.90
7503033076859,cfrut naranja c/300ml,$9.00
738545020015,chamoy de 500ml,$22.00
738545020046,chamoy de litro,$30.50
7503014341136,Chamoy delli torito 500ml,$18.00
738545020190,Chamoy mega 1.5,$45.00
7503035555222,chamoy mega 2.5kg,$56.00
738545020206,chamoy mega 4.1 ml,$87.00
7503014341068,chamoy para fuente delli torito 1lt,$34.90
7503014341495,chamoy torito 500ml,$18.90
7503014341075,chamoy torito galon,$98.00
7503014341334,chamoyada a granel,$7.00
192,chamoyada torito c/16,$76.00
521,charal a granel,$260.00
